ProviderName,LicenseType,ProviderType,ProviderTypeDescription,QualityRating,QualityRatingDescription,ProviderCapacity,PhysicalCity,PhysicalZipCode,CountyNumber,CountyName,PhoneNumber,Hours of operation,Gender,Age
1st Step Early Learning Center,LICENSED,4,Center,3,Good,71,DE KALB,39328,35,KEMPER,228-207-3539,9AM-5PM,Female,0 - 3
1st Step University Child Care,LICENSED,2,Slot Contractor,0,Not Rated,91,BILOXI,39532,30,JACKSON,228-207-6395,9AM-5PM,Female,0 - 3
Aerielle Hunter,UNLICENSED,5,Non-Relative In-Home,0,Not Rated,5,CLARKSDALE,38614,14,COAHOMA,228-209-1904,9AM-5PM,Female,0 - 3
Agnes Nulisch,UNLICENSED,6,Relative In-Home,0,Not Rated,5,LAUREL,39440,34,JONES,228-209-3671,9AM-5PM,Female,0 - 3
Agnes Timmons,UNLICENSED,7,Non-Relative Out-of-Home,0,Not Rated,5,JACKSON,39209,25,HINDS,228-209-4250,9AM-5PM,Female,0 - 3
Agustina  Flores,UNLICENSED,8,Relative Out-of-Home,0,Not Rated,5,MERIDIAN,39301,38,LAUDERDALE,228-213-2913,9AM-5PM,Female,0 - 3
Agustina Rosendo,UNLICENSED,5,Non-Relative In-Home,0,Not Rated,5,GAUTIER,39553,30,JACKSON,228-213-3992,9AM-5PM,Female,0 - 3
"1st Thing 1st Child Development and Learning Center, LLC",LICENSED,3,Group Home,1,Low,135,JACKSON,39203,25,HINDS,228-213-6383,9AM-5PM,Female,0 - 3
Aida Lopez,UNLICENSED,6,Relative In-Home,0,Not Rated,5,MERIDIAN,39301,38,LAUDERDALE,228-214-5043,9AM-5PM,Female,0 - 3
Aimee Casey,UNLICENSED,7,Non-Relative Out-of-Home,0,Not Rated,5,YAZOO CITY,39194,82,YAZOO,228-216-4041,9AM-5PM,Female,0 - 3
Aimee Fauci,UNLICENSED,8,Relative Out-of-Home,0,Not Rated,5,HERNANDO,38632,17,DESOTO,228-216-4041,9AM-5PM,Female,0 - 3
1st UMC Parents Day Out,LICENSED,4,Center,1,Low,30,HATTIESBURG,39401,18,FORREST,228-217-3367,9AM-5PM,Female,0 - 3
Aimee Folk,UNLICENSED,5,Non-Relative In-Home,0,Not Rated,5,JACKSON,39206,25,HINDS,228-217-6729,9AM-5PM,Female,0 - 3
Aimee Nailor,UNLICENSED,6,Relative In-Home,0,Not Rated,5,SOUTHAVEN,38671,17,DESOTO,228-217-8678,9AM-5PM,Female,0 - 3
Aimiti Ruth Lago,UNLICENSED,7,Non-Relative Out-of-Home,0,Not Rated,5,SARAH,38665,54,PANOLA,228-218-3114,9AM-5PM,Female,0 - 3
2 Grannys House Infant Care Center,LICENSED,2,Slot Contractor,0,Not Rated,30,SOUTHAVEN,38671,17,DESOTO,228-218-3966,9AM-5PM,Female,0 - 3
Ainisha Rawls,UNLICENSED,8,Relative Out-of-Home,0,Not Rated,5,SOUTHAVEN,38671,17,DESOTO,228-218-4168,9AM-5PM,Female,0 - 3
Aisha  Mohamed,UNLICENSED,5,Non-Relative In-Home,0,Not Rated,5,BILOXI,39532,30,JACKSON,228-218-7038,9AM-5PM,Female,0 - 3
2nd Step Daycare & Learning Center,LICENSED,3,Group Home,0,Not Rated,40,BYHALIA,38611,17,DESOTO,228-218-7401,9AM-5PM,Female,0 - 3
Alana Cooper,UNLICENSED,6,Relative In-Home,0,Not Rated,5,LUCEDALE,39452,30,JACKSON,228-219-0345,9AM-5PM,Female,0 - 3
Alba Orellana,UNLICENSED,7,Non-Relative Out-of-Home,0,Not Rated,5,MOSS POINT,39563,30,JACKSON,228-219-2488,9AM-5PM,Female,0 - 3
Alberta Frances Sherman,UNLICENSED,8,Relative Out-of-Home,0,Not Rated,5,GREENVILLE,38701,76,WASHINGTON,228-219-4082,9AM-5PM,Female,0 - 3
4 Our Kids Learning Academy,LICENSED,4,Center,0,Not Rated,50,TYLERTOWN,39667,74,WALTHALL,228-219-6139,9AM-5PM,Female,0 - 3
Albeza Michelle Gutierrez,UNLICENSED,5,Non-Relative In-Home,0,Not Rated,5,MERIDIAN,39301,38,LAUDERDALE,228-219-9358,9AM-5PM,Female,0 - 3
4-R-A-Cat-A-Me,LICENSED,2,Slot Contractor,0,Not Rated,147,SOUTHAVEN,38672,17,DESOTO,228-222-5564,9AM-5PM,Female,0 - 3
Alecia Fillyaw,UNLICENSED,6,Relative In-Home,0,Not Rated,5,LAUREL,39440,34,JONES,228-223-1213,9AM-5PM,Female,0 - 3
Alejandra Ortiz Rangel,UNLICENSED,7,Non-Relative Out-of-Home,0,Not Rated,5,MERIDIAN,39301,38,LAUDERDALE,228-223-2135,9AM-5PM,Female,0 - 3
Alejandrina  Pacheco,UNLICENSED,8,Relative Out-of-Home,0,Not Rated,5,LUMBERTON,39455,37,LAMAR,228-223-5139,9AM-5PM,Female,0 - 3
Alejandrina W Goodridge,UNLICENSED,5,Non-Relative In-Home,0,Not Rated,5,SCOOBA,39358,35,KEMPER,228-224-0280,9AM-5PM,Female,0 - 3
4th and Elms Cornerstone Christian Preschool,LICENSED,3,Group Home,5,Excellent,105,HATTIESBURG,39401,18,FORREST,228-224-1455,9AM-5PM,Female,0 - 3
803 Old McDonald Day Care Learning Center,LICENSED,4,Center,0,Not Rated,30,VANCLEAVE,39565,30,JACKSON,228-224-5734,9AM-5PM,Female,0 - 3
Alemi R Pichardo,UNLICENSED,6,Relative In-Home,0,Not Rated,5,GREENVILLE,38701,76,WASHINGTON,228-224-5790,9AM-5PM,Female,0 - 3
Alesel Monae Alexander,UNLICENSED,7,Non-Relative Out-of-Home,0,Not Rated,5,JACKSON,39213,25,HINDS,228-224-6790,9AM-5PM,Female,0 - 3
A & J's Learning Center,LICENSED,2,Slot Contractor,0,Not Rated,48,MOSS POINT,39563,30,JACKSON,228-224-7387,9AM-5PM,Female,0 - 3
Aletha Renee Kennedy,UNLICENSED,8,Relative Out-of-Home,0,Not Rated,5,MERIDIAN,39301,38,LAUDERDALE,228-224-8287,9AM-5PM,Female,0 - 3
Alexandria Wright,UNLICENSED,5,Non-Relative In-Home,0,Not Rated,5,MERIDIAN,39301,38,LAUDERDALE,228-224-9068,9AM-5PM,Female,0 - 3
Alexis  Baxter,UNLICENSED,6,Relative In-Home,0,Not Rated,5,HORN LAKE,38637,17,DESOTO,228-224-9721,9AM-5PM,Female,0 - 3
Alexis Ely,UNLICENSED,7,Non-Relative Out-of-Home,0,Not Rated,5,GREENVILLE,38701,76,WASHINGTON,228-226-6414,9AM-5PM,Female,0 - 3
A & W Learning Academy,LICENSED,3,Group Home,4,Very Good,200,COLLINS,39428,16,COVINGTON,228-229-5102,9AM-5PM,Female,0 - 3
Alexis Goodman,UNLICENSED,8,Relative Out-of-Home,0,Not Rated,5,COLLINS,39428,16,COVINGTON,228-229-9345,9AM-5PM,Female,0 - 3
Aleyda Perez,UNLICENSED,5,Non-Relative In-Home,0,Not Rated,5,PRENTISS,39474,33,JEFFERSON DAVIS,228-233-3839,9AM-5PM,Female,0 - 3
Alfredia  Henderson,UNLICENSED,6,Relative In-Home,0,Not Rated,5,GREENVILLE,38701,76,WASHINGTON,228-233-5640,9AM-5PM,Female,0 - 3
A - Kid - Campus,LICENSED,4,Center,0,Not Rated,32,JACKSON,39209,25,HINDS,228-233-9655,9AM-5PM,Female,0 - 3
A 2 Z Learning Center,LICENSED,2,Slot Contractor,0,Not Rated,45,WALLS,38680,17,DESOTO,228-234-0970,9AM-5PM,Female,0 - 3
Alice  Roberts,UNLICENSED,7,Non-Relative Out-of-Home,0,Not Rated,5,MERIDIAN,39301,38,LAUDERDALE,228-234-0970,9AM-5PM,Female,0 - 3
A and B Christian School,LICENSED,3,Group Home,0,Not Rated,24,JACKSON,39209,25,HINDS,228-234-0970,9AM-5PM,Female,0 - 3
Alice Bauknight,UNLICENSED,8,Relative Out-of-Home,0,Not Rated,5,GREENVILLE,38701,76,WASHINGTON,228-234-0970,9AM-5PM,Female,0 - 3
A And C Arms Of Love CCE,LICENSED,4,Center,0,Not Rated,69,PASCAGOULA,39567,30,JACKSON,228-234-0970,9AM-5PM,Female,0 - 3
A and M Child Care Center,LICENSED,2,Slot Contractor,0,Not Rated,30,JACKSON,39209,25,HINDS,228-234-0970,9AM-5PM,Female,0 - 3
"A B C Academy, LLC",LICENSED,4,Center,4,Very Good,200,COLLINS,39428,16,COVINGTON,228-234-0970,9AM-5PM,Female,0 - 3
Alice Bride,UNLICENSED,5,Non-Relative In-Home,0,Not Rated,5,MERIDIAN,39301,38,LAUDERDALE,228-234-0970,9AM-5PM,Female,0 - 3
Alice Lucas,UNLICENSED,6,Relative In-Home,0,Not Rated,5,METCALFE,38760,76,WASHINGTON,228-234-0970,9AM-5PM,Female,0 - 3
Alice M Whalon,UNLICENSED,7,Non-Relative Out-of-Home,0,Not Rated,5,JACKSON,39209,25,HINDS,228-234-1318,9AM-5PM,Female,0 - 3
A Bar Z Ponderosa,LICENSED,4,Center,0,Not Rated,90,GREENVILLE,38701,76,WASHINGTON,228-234-3035,9AM-5PM,Female,0 - 3
Alice Ruth De La O,UNLICENSED,8,Relative Out-of-Home,0,Not Rated,5,LAUREL,39440,34,JONES,228-234-5264,9AM-5PM,Female,0 - 3
A Bar Z Ponderosa II,LICENSED,4,Center,0,Not Rated,30,BILOXI,39532,30,JACKSON,228-234-5988,9AM-5PM,Female,0 - 3
Alicia  De La Rosa,UNLICENSED,5,Non-Relative In-Home,0,Not Rated,5,MERIDIAN,39301,38,LAUDERDALE,228-234-6752,9AM-5PM,Female,0 - 3
A Better Choice Child Care Center,LICENSED,2,Slot Contractor,0,Not Rated,124,MOSS POINT,39562,30,JACKSON,228-234-9348,9AM-5PM,Female,0 - 3
Alicia  Dickerson,UNLICENSED,6,Relative In-Home,0,Not Rated,5,MOSS POINT,39563,30,JACKSON,228-235-8350,9AM-5PM,Female,0 - 3
A Better Class Learning Academy,LICENSED,3,Group Home,0,Not Rated,240,HATTIESBURG,39401,18,FORREST,228-235-9566,9AM-5PM,Female,0 - 3
Alicia  Ontiveros,UNLICENSED,7,Non-Relative Out-of-Home,0,Not Rated,5,HORN LAKE,38637,17,DESOTO,228-238-2672,9AM-5PM,Female,0 - 3
A Big Place 4 Little People Daycare 2,LICENSED,4,Center,0,Not Rated,114,SOUTHAVEN,38671,17,DESOTO,228-239-3745,9AM-5PM,Female,0 - 3
Alicia Barragan,UNLICENSED,8,Relative Out-of-Home,0,Not Rated,5,GREENVILLE,38701,76,WASHINGTON,228-239-9531,9AM-5PM,Female,0 - 3
A Bright Beginning,LICENSED,4,Center,0,Not Rated,78,LAUREL,39440,34,JONES,228-243-5612,9AM-5PM,Female,0 - 3
A Bright Beginning #3,LICENSED,4,Center,0,Not Rated,22,JACKSON,39206,25,HINDS,228-249-1471,9AM-5PM,Female,0 - 3
Alicia Fleck-Hills,UNLICENSED,5,Non-Relative In-Home,0,Not Rated,5,BENTON,39039,82,YAZOO,228-249-1771,9AM-5PM,Female,0 - 3
Alicia Gutierrez,UNLICENSED,6,Relative In-Home,0,Not Rated,5,HERNANDO,38632,17,DESOTO,228-249-3422,9AM-5PM,Female,0 - 3
Alicia Venecia,UNLICENSED,7,Non-Relative Out-of-Home,0,Not Rated,5,JACKSON,39209,25,HINDS,228-249-4315,9AM-5PM,Female,0 - 3
A Bright Beginning #2,LICENSED,4,Center,0,Not Rated,40,BRANDON,39042,61,RANKIN,228-249-4868,9AM-5PM,Female,0 - 3
A Bright Beginning CCH,LICENSED,4,Center,0,Not Rated,100,SOUTHAVEN,38671,17,DESOTO,228-249-5097,9AM-5PM,Female,0 - 3
A Bright Beginning II,LICENSED,4,Center,3,Good,76,ABBEVILLE,38601,36,LAFAYETTE,228-249-6131,9AM-5PM,Female,0 - 3
Alisha  Howell,UNLICENSED,8,Relative Out-of-Home,0,Not Rated,5,JACKSON,39209,25,HINDS,228-249-6131,9AM-5PM,Female,0 - 3
A Bright Beginning Private School,LICENSED,4,Center,1,Low,50,HATTIESBURG,39401,18,FORREST,228-249-8299,9AM-5PM,Female,0 - 3
Alisha  Odom,UNLICENSED,5,Non-Relative In-Home,0,Not Rated,5,SCOOBA,39358,35,KEMPER,228-249-8317,9AM-5PM,Female,0 - 3
A Brighter Day Child Care Center,LICENSED,2,Slot Contractor,1,Low,100,MERIDIAN,39301,38,LAUDERDALE,228-249-9986,9AM-5PM,Female,0 - 3
Alisha Bailey,UNLICENSED,6,Relative In-Home,0,Not Rated,5,HORN LAKE,38637,17,DESOTO,228-255-1930,9AM-5PM,Female,0 - 3
Alison Beth Marx,UNLICENSED,7,Non-Relative Out-of-Home,0,Not Rated,5,LUDLOW,39098,62,SCOTT,228-255-4447,9AM-5PM,Female,0 - 3
A Brighter Day Learning Academy,LICENSED,3,Group Home,0,Not Rated,41,LAUREL,39443,34,JONES,228-255-6974,9AM-5PM,Female,0 - 3
Alixandrea McDonnell,UNLICENSED,8,Relative Out-of-Home,0,Not Rated,5,MOUNT OLIVE,39119,16,COVINGTON,228-255-7070,9AM-5PM,Female,0 - 3
A Brighter Day Quality Learning Center,LICENSED,4,Center,0,Not Rated,1,BILOXI,39532,30,JACKSON,228-255-7641,9AM-5PM,Female,0 - 3
A Castles Tale,LICENSED,2,Slot Contractor,1,Low,185,MERIDIAN,39301,38,LAUDERDALE,228-255-7641,9AM-5PM,Female,0 - 3
Alliene  Hypolite,UNLICENSED,5,Non-Relative In-Home,0,Not Rated,5,HAZLEHURST,39083,15,COPIAH,228-257-5366,9AM-5PM,Female,0 - 3
A Child's Corner Childcare,LICENSED,3,Group Home,0,Not Rated,24,GREENVILLE,38701,76,WASHINGTON,228-261-2951,9AM-5PM,Female,0 - 3
Allison Dietz,UNLICENSED,6,Relative In-Home,0,Not Rated,5,TYLERTOWN,39667,74,WALTHALL,228-261-9181,9AM-5PM,Female,0 - 3
A Child's Discovery,LICENSED,4,Center,0,Not Rated,184,RICHLAND,39218,61,RANKIN,228-263-1108,9AM-5PM,Female,0 - 3
A Child's Haven,LICENSED,2,Slot Contractor,1,Low,30,HATTIESBURG,39401,18,FORREST,228-263-1889,9AM-5PM,Female,0 - 3
Allison Johnson,UNLICENSED,7,Non-Relative Out-of-Home,0,Not Rated,5,LAUREL,39440,34,JONES,228-265-5006,9AM-5PM,Female,0 - 3
Allison Newton,UNLICENSED,8,Relative Out-of-Home,0,Not Rated,5,HATTIESBURG,39401,18,FORREST,228-265-5840,9AM-5PM,Female,0 - 3
Allyson Chadwell,UNLICENSED,5,Non-Relative In-Home,0,Not Rated,5,JACKSON,39209,25,HINDS,228-265-5942,9AM-5PM,Female,0 - 3
A Child's Place Learning Center  Inc,LICENSED,3,Group Home,1,Low,50,HATTIESBURG,39401,18,FORREST,228-265-8016,9AM-5PM,Female,0 - 3
Allyson Jordan,UNLICENSED,6,Relative In-Home,0,Not Rated,5,LAUREL,39440,34,JONES,228-265-8829,9AM-5PM,Female,0 - 3
Alma Alzena Neal,UNLICENSED,7,Non-Relative Out-of-Home,0,Not Rated,5,FOREST,39074,62,SCOTT,228-267-4761,9AM-5PM,Female,0 - 3
Alma Bernal,UNLICENSED,8,Relative Out-of-Home,0,Not Rated,5,MERIDIAN,39301,38,LAUDERDALE,228-273-0844,9AM-5PM,Female,0 - 3
A Child's Reflection,LICENSED,4,Center,1,Low,57,COLLINS,39428,16,COVINGTON,228-281-3658,9AM-5PM,Female,0 - 3
Alma Maldonado,UNLICENSED,5,Non-Relative In-Home,0,Not Rated,5,MOSS POINT,39563,30,JACKSON,228-282-0854,9AM-5PM,Female,0 - 3
A Child's View,LICENSED,2,Slot Contractor,0,Not Rated,94,OLIVE BRANCH,38654,17,DESOTO,228-282-2918,9AM-5PM,Female,0 - 3
A Childs Choice,LICENSED,3,Group Home,1,Low,75,PASCAGOULA,39581,30,JACKSON,228-282-9962,9AM-5PM,Female,0 - 3
A Childs Day,LICENSED,4,Center,1,Low,173,LAUREL,39443,34,JONES,228-284-0209,9AM-5PM,Female,0 - 3
Alma Mercedes Flores,UNLICENSED,6,Relative In-Home,0,Not Rated,5,PRESTON,39354,35,KEMPER,228-284-0241,9AM-5PM,Female,0 - 3
Alma Rosa Aguilar,UNLICENSED,7,Non-Relative Out-of-Home,0,Not Rated,5,JACKSON,39209,25,HINDS,228-284-4358,9AM-5PM,Female,0 - 3
Alondra Torres-Crocker,UNLICENSED,8,Relative Out-of-Home,0,Not Rated,5,CRYSTAL SPRINGS,39059,15,COPIAH,228-285-0246,9AM-5PM,Female,0 - 3
Alpha Plemons,UNLICENSED,5,Non-Relative In-Home,0,Not Rated,5,LAUREL,39440,34,JONES,228-285-0500,9AM-5PM,Female,0 - 3
A Childs Garden Montessori School,LICENSED,2,Slot Contractor,3,Good,80,HATTIESBURG,39402,37,LAMAR,228-285-0859,9AM-5PM,Female,0 - 3
Alquinette Lashawn Kilpatrick,UNLICENSED,6,Relative In-Home,0,Not Rated,5,PRENTISS,39474,33,JEFFERSON DAVIS,228-285-1316,9AM-5PM,Female,0 - 3
Alysa Lowry,UNLICENSED,7,Non-Relative Out-of-Home,0,Not Rated,5,HAZLEHURST,39083,15,COPIAH,228-285-1963,9AM-5PM,Female,0 - 3
A Childs Place,LICENSED,3,Group Home,0,Not Rated,72,WESSON,39191,15,COPIAH,228-285-1963,9AM-5PM,Female,0 - 3
A Childs Pointe Day Care,LICENSED,4,Center,0,Not Rated,30,OLIVE BRANCH,38654,17,DESOTO,228-285-1963,9AM-5PM,Female,0 - 3
Alyssa Carr,UNLICENSED,8,Relative Out-of-Home,0,Not Rated,5,OCEAN SPRINGS,39564,30,JACKSON,228-295-7091,9AM-5PM,Female,0 - 3
Alyssa Davis,UNLICENSED,5,Non-Relative In-Home,0,Not Rated,5,BELZONI,39038,27,HUMPHREYS,228-297-0473,9AM-5PM,Female,0 - 3
A Christian Academy,LICENSED,2,Slot Contractor,0,Not Rated,29,JACKSON,39206,25,HINDS,228-297-4408,9AM-5PM,Female,0 - 3
Alyssa Jones,UNLICENSED,6,Relative In-Home,0,Not Rated,5,LAUREL,39440,34,JONES,228-297-9095,9AM-5PM,Female,0 - 3
A Creative Focus Learning Center,LICENSED,3,Group Home,0,Not Rated,100,FLOWOOD,39232,61,RANKIN,228-313-1227,9AM-5PM,Female,0 - 3
Alyssa Payne,UNLICENSED,7,Non-Relative Out-of-Home,0,Not Rated,5,HATTIESBURG,39401,18,FORREST,228-313-5216,9AM-5PM,Female,0 - 3
A Creative Genius Learning Academy,LICENSED,4,Center,0,Not Rated,80,JACKSON,39209,25,HINDS,228-313-5806,9AM-5PM,Female,0 - 3
Amabilia  Bejarano,UNLICENSED,8,Relative Out-of-Home,0,Not Rated,5,PEARL,39208,61,RANKIN,228-313-6816,9AM-5PM,Female,0 - 3
A Creative Learning Center LLC,LICENSED,2,Slot Contractor,0,Not Rated,100,OLIVE BRANCH,38654,17,DESOTO,228-313-7456,9AM-5PM,Female,0 - 3
Amalia Garcia,UNLICENSED,5,Non-Relative In-Home,0,Not Rated,5,GULFPORT,39501,24,HARRISON,228-324-7087,9AM-5PM,Female,0 - 3
Amanda  Carbajal,UNLICENSED,6,Relative In-Home,0,Not Rated,5,PRENTISS,39474,33,JEFFERSON DAVIS,228-326-2737,9AM-5PM,Female,0 - 3
A Garden For Children Child Dev. Center,LICENSED,3,Group Home,1,Low,38,JACKSON,39206,25,HINDS,228-326-5461,9AM-5PM,Female,0 - 3
Amanda Cervantez,UNLICENSED,7,Non-Relative Out-of-Home,0,Not Rated,5,MERIDIAN,39301,38,LAUDERDALE,228-328-3326,9AM-5PM,Female,0 - 3
Amanda Cooper,UNLICENSED,8,Relative Out-of-Home,0,Not Rated,5,FOREST,39074,62,SCOTT,228-328-7415,9AM-5PM,Female,0 - 3
Amanda Downs,UNLICENSED,5,Non-Relative In-Home,0,Not Rated,5,MERIDIAN,39307,38,LAUDERDALE,228-331-2831,9AM-5PM,Female,0 - 3
Amanda Gray,UNLICENSED,6,Relative In-Home,0,Not Rated,5,GULFPORT,39501,24,HARRISON,228-342-0723,9AM-5PM,Female,0 - 3
Amanda Guptill,UNLICENSED,7,Non-Relative Out-of-Home,0,Not Rated,5,MERIDIAN,39301,38,LAUDERDALE,228-342-5189,9AM-5PM,Female,0 - 3
Amanda Harris,UNLICENSED,8,Relative Out-of-Home,0,Not Rated,5,MERIDIAN,39301,38,LAUDERDALE,228-342-5189,9AM-5PM,Female,0 - 3
A Guardian Angel Child Care Ctr,LICENSED,4,Center,1,Low,43,JACKSON,39206,25,HINDS,228-343-3892,9AM-5PM,Female,0 - 3
Amanda Ingersol,UNLICENSED,5,Non-Relative In-Home,0,Not Rated,5,MARKS,38646,60,QUITMAN,228-343-4847,9AM-5PM,Female,0 - 3
Amanda Landry,UNLICENSED,6,Relative In-Home,0,Not Rated,5,FOREST,39074,62,SCOTT,228-343-5236,9AM-5PM,Female,0 - 3
Amanda Lbaz,UNLICENSED,7,Non-Relative Out-of-Home,0,Not Rated,5,GREENVILLE,38701,76,WASHINGTON,228-343-5245,9AM-5PM,Female,0 - 3
Amanda Lee Jolivette,UNLICENSED,8,Relative Out-of-Home,0,Not Rated,5,CLARKSDALE,38614,14,COAHOMA,228-343-6885,9AM-5PM,Female,0 - 3
Amanda Lively,UNLICENSED,5,Non-Relative In-Home,0,Not Rated,5,JACKSON,39209,25,HINDS,228-344-0234,9AM-5PM,Female,0 - 3
Amanda McAfee,UNLICENSED,6,Relative In-Home,0,Not Rated,5,YAZOO CITY,39194,82,YAZOO,228-344-3083,9AM-5PM,Female,0 - 3
A Habitat for Learning,LICENSED,4,Center,0,Not Rated,9,ARCOLA,38722,76,WASHINGTON,228-355-1266,9AM-5PM,Female,0 - 3
Amanda Preston,UNLICENSED,7,Non-Relative Out-of-Home,0,Not Rated,5,MOSS POINT,39563,30,JACKSON,228-357-2718,9AM-5PM,Female,0 - 3
A Habitat for Learning - Tuscola,LICENSED,4,Center,0,Not Rated,36,SOUTHAVEN,38671,17,DESOTO,228-357-5536,9AM-5PM,Female,0 - 3
A Habitat for Learning - Sayles,LICENSED,4,Center,0,Not Rated,30,OLIVE BRANCH,38654,17,DESOTO,228-363-4150,9AM-5PM,Female,0 - 3
"A Happy Home Child Care, LLC",LICENSED,4,Center,1,Low,38,JACKSON,39206,25,HINDS,228-363-5244,9AM-5PM,Female,0 - 3
Amanda Pullen,UNLICENSED,8,Relative Out-of-Home,0,Not Rated,5,BILOXI,39532,30,JACKSON,228-364-2270,9AM-5PM,Female,0 - 3
A Heart for the Children,LICENSED,4,Center,0,Not Rated,30,LONG BEACH,39560,24,HARRISON,228-365-2805,9AM-5PM,Female,0 - 3
Amanda Quinn,UNLICENSED,5,Non-Relative In-Home,0,Not Rated,5,SARDIS,38666,54,PANOLA,228-366-1068,9AM-5PM,Female,0 - 3
A is for Apple Childcare,LICENSED,4,Center,0,Not Rated,20,NATCHEZ,39120,1,ADAMS,228-369-0079,9AM-5PM,Female,0 - 3
